epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1348.44,1.88797,1.80352,1.40042,0.69337,0.6457,0.69612,0.33656,1.56397,3.10112,1.29063,0.00033284,0.00033284,0.0670489
2,2418.41,1.79839,1.4917,1.37049,0.66111,0.68611,0.68568,0.32223,1.55834,2.85554,1.28143,0.000644189,0.000644189,0.0340269
3,3595.93,1.76036,1.40639,1.3485,0.64022,0.66403,0.71379,0.35451,1.57952,4.30033,1.2641,0.000933539,0.000933539,0.000982921
4,4635.19,1.70181,1.31739,1.30849,0.76157,0.77023,0.81402,0.42477,1.50106,2.0145,1.22661,0.000901,0.000901,0.000901
5,5620.35,1.66992,1.25433,1.29252,0.77193,0.7443,0.8005,0.40925,1.51089,1.47444,1.19857,0.000868,0.000868,0.000868
6,6665.77,1.64232,1.2031,1.26596,0.83181,0.82263,0.86444,0.4746,1.38303,1.52498,1.15424,0.000835,0.000835,0.000835
7,7720.94,1.60473,1.14206,1.25172,0.83399,0.79068,0.87131,0.47457,1.44318,1.40181,1.17517,0.000802,0.000802,0.000802
8,8913.76,1.57253,1.13472,1.2492,0.86083,0.87213,0.89058,0.49396,1.38674,1.54403,1.15699,0.000769,0.000769,0.000769
9,10056,1.57191,1.10423,1.23913,0.84522,0.91492,0.92639,0.52864,1.35026,1.36472,1.13306,0.000736,0.000736,0.000736
10,11050.1,1.54595,1.06639,1.22842,0.88443,0.89724,0.9207,0.52237,1.36937,1.48949,1.14452,0.000703,0.000703,0.000703
11,12065.1,1.5305,1.03623,1.22218,0.87344,0.88543,0.90986,0.51481,1.3653,1.241,1.14381,0.00067,0.00067,0.00067
12,13107.3,1.50404,1.02347,1.20596,0.85542,0.87115,0.91792,0.52339,1.3649,1.09125,1.12475,0.000637,0.000637,0.000637
13,13947.8,1.50098,1.00937,1.20601,0.89663,0.88584,0.92977,0.55736,1.27955,1.10636,1.10082,0.000604,0.000604,0.000604
14,14834.1,1.46915,0.97006,1.18751,0.90662,0.90602,0.93519,0.56937,1.24995,1.05923,1.08636,0.000571,0.000571,0.000571
15,15783.5,1.46391,0.96619,1.18858,0.87916,0.87583,0.91504,0.56091,1.27015,1.24386,1.0872,0.000538,0.000538,0.000538
16,16766,1.44699,0.95407,1.18201,0.90068,0.90853,0.94742,0.56638,1.25605,0.95551,1.07906,0.000505,0.000505,0.000505
17,17763.8,1.42641,0.94159,1.17043,0.89253,0.92502,0.94094,0.56195,1.25703,1.00631,1.0865,0.000472,0.000472,0.000472
18,18921.6,1.40773,0.9204,1.16268,0.89241,0.89004,0.9339,0.58853,1.23657,1.03667,1.06518,0.000439,0.000439,0.000439
19,20068,1.39508,0.89361,1.15547,0.90771,0.9328,0.94187,0.58857,1.23464,1.046,1.07497,0.000406,0.000406,0.000406
20,21273.7,1.37792,0.87155,1.14686,0.93285,0.93104,0.95758,0.5929,1.20866,0.85383,1.06678,0.000373,0.000373,0.000373
21,22292.1,1.32145,0.8087,1.14471,0.9041,0.93462,0.94557,0.60789,1.18153,0.90588,1.04358,0.00034,0.00034,0.00034
22,23337.8,1.3019,0.78344,1.13723,0.90408,0.9412,0.95701,0.60702,1.19877,0.97905,1.04555,0.000307,0.000307,0.000307
23,24401.3,1.27708,0.75354,1.12006,0.92183,0.93243,0.95255,0.62426,1.15919,0.88296,1.03358,0.000274,0.000274,0.000274
24,25480,1.26065,0.74376,1.11391,0.92244,0.9336,0.95167,0.63047,1.14013,0.82547,1.02019,0.000241,0.000241,0.000241
25,26470,1.23691,0.7149,1.10613,0.93463,0.94283,0.96047,0.63948,1.14329,0.86016,1.02202,0.000208,0.000208,0.000208
26,27353,1.22578,0.70919,1.10014,0.93189,0.94851,0.96028,0.64322,1.14051,0.8182,1.01564,0.000175,0.000175,0.000175
27,28222.5,1.2053,0.69392,1.09026,0.93041,0.94475,0.96329,0.63986,1.13626,0.79382,1.01331,0.000142,0.000142,0.000142
28,29027.8,1.19382,0.68996,1.08314,0.93036,0.94372,0.96369,0.65617,1.10329,0.82111,1.00625,0.000109,0.000109,0.000109
29,29822,1.17238,0.66919,1.07213,0.94256,0.94121,0.9652,0.66359,1.08157,0.75259,0.99959,7.6e-05,7.6e-05,7.6e-05
30,30613.9,1.15873,0.65803,1.06555,0.93632,0.94955,0.96287,0.66434,1.08718,0.74896,0.99746,4.3e-05,4.3e-05,4.3e-05
