epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.1,1.29584,1.3924,1.49726,0.60669,0.60434,0.58418,0.18927,2.08648,2.03881,2.55695,0.00065625,0.00065625,0.00065625
2,272.578,1.53479,1.46096,1.69794,0.03632,0.45799,0.02758,0.00905,2.46786,24.8101,2.89065,0.00129672,0.00129672,0.00129672
3,424.173,1.60528,1.43982,1.71531,0.15941,0.26829,0.08263,0.02482,2.76922,4.30843,4.47133,0.0019108,0.0019108,0.0019108
4,568.658,1.60085,1.42531,1.71202,0.29528,0.31568,0.24055,0.08146,2.2971,3.12989,2.48276,0.0018812,0.0018812,0.0018812
5,718.576,1.56517,1.37852,1.68585,0.48469,0.31978,0.34006,0.1172,2.26173,2.9386,2.35047,0.0018416,0.0018416,0.0018416
6,862.149,1.51057,1.33176,1.64353,0.67895,0.58266,0.5748,0.25333,2.0343,1.79063,2.4293,0.001802,0.001802,0.001802
7,1022.09,1.48504,1.27407,1.60992,0.61981,0.64228,0.57125,0.27895,1.76999,1.56714,2.01197,0.0017624,0.0017624,0.0017624
8,1191.04,1.38732,1.13829,1.54857,0.75091,0.63957,0.62118,0.29436,1.93352,1.66597,2.35234,0.0017228,0.0017228,0.0017228
9,1353.43,1.39616,1.1162,1.55154,0.75757,0.7019,0.76831,0.37781,1.76863,1.23027,2.00699,0.0016832,0.0016832,0.0016832
10,1505.55,1.4013,1.12006,1.5536,0.77681,0.63144,0.68367,0.3639,1.85568,1.38884,2.15068,0.0016436,0.0016436,0.0016436
11,1656.61,1.3323,1.06853,1.49032,0.77989,0.60976,0.61442,0.30069,1.84834,1.67331,2.20697,0.001604,0.001604,0.001604
12,1811.18,1.3608,1.06071,1.52616,0.79238,0.6516,0.73213,0.34119,1.77319,1.22067,1.90414,0.0015644,0.0015644,0.0015644
13,1964.01,1.33195,1.02135,1.4887,0.87402,0.69377,0.79093,0.38625,1.72518,1.15958,1.95593,0.0015248,0.0015248,0.0015248
14,2118.74,1.28358,0.95046,1.46879,0.74687,0.5917,0.64589,0.32159,1.90317,1.58847,2.14545,0.0014852,0.0014852,0.0014852
15,2273.73,1.27651,0.93953,1.45917,0.84789,0.70997,0.77722,0.38841,1.76623,1.12638,1.92478,0.0014456,0.0014456,0.0014456
16,2428.41,1.258,0.93804,1.43248,0.78532,0.68403,0.73905,0.41469,1.73385,1.17342,1.96261,0.001406,0.001406,0.001406
17,2582.12,1.23269,0.92368,1.42713,0.88474,0.75339,0.83751,0.45286,1.55025,0.96707,1.69723,0.0013664,0.0013664,0.0013664
18,2738.88,1.2128,0.88189,1.41017,0.8216,0.73638,0.81679,0.46821,1.51976,0.9864,1.70178,0.0013268,0.0013268,0.0013268
19,2898.15,1.20199,0.87078,1.38851,0.8953,0.75339,0.84196,0.50201,1.45375,1.00057,1.6306,0.0012872,0.0012872,0.0012872
20,3054.37,1.20007,0.86245,1.39491,0.91854,0.76152,0.85414,0.45201,1.71119,0.9661,1.85101,0.0012476,0.0012476,0.0012476
21,3212.85,1.20053,0.84634,1.39531,0.94956,0.81301,0.90362,0.49829,1.53879,0.83647,1.7053,0.001208,0.001208,0.001208
22,3371.68,1.17053,0.80812,1.37096,0.93152,0.81301,0.90162,0.51565,1.46847,0.79,1.62876,0.0011684,0.0011684,0.0011684
23,3528.85,1.16177,0.80205,1.37182,0.85458,0.79632,0.84807,0.48266,1.57269,0.93295,1.77638,0.0011288,0.0011288,0.0011288
24,3688.07,1.16094,0.8066,1.37768,0.91561,0.79389,0.88576,0.43919,1.71858,0.8616,1.87973,0.0010892,0.0010892,0.0010892
25,3847.15,1.11089,0.75677,1.35011,0.88612,0.84553,0.90842,0.53211,1.44747,0.77048,1.6275,0.0010496,0.0010496,0.0010496
26,4006.11,1.11417,0.76892,1.33394,0.88094,0.84824,0.90355,0.50197,1.57752,0.78865,1.73913,0.00101,0.00101,0.00101
27,4164.23,1.11326,0.74542,1.34287,0.84325,0.84559,0.86664,0.49969,1.56151,0.8599,1.70794,0.0009704,0.0009704,0.0009704
28,4321.72,1.09943,0.72587,1.3342,0.90866,0.82385,0.91194,0.53272,1.43152,0.7823,1.65131,0.0009308,0.0009308,0.0009308
29,4479.42,1.09151,0.71232,1.32669,0.90247,0.82752,0.91216,0.54036,1.47301,0.74657,1.60979,0.0008912,0.0008912,0.0008912
30,4638.41,1.09494,0.73082,1.3106,0.93072,0.81301,0.90351,0.51551,1.48206,0.8136,1.68795,0.0008516,0.0008516,0.0008516
31,4795.25,1.07273,0.70117,1.29986,0.92608,0.85908,0.92046,0.5624,1.43462,0.71214,1.59457,0.000812,0.000812,0.000812
32,4953.1,1.05623,0.70181,1.30456,0.85483,0.84282,0.87622,0.50257,1.45174,0.83688,1.66165,0.0007724,0.0007724,0.0007724
33,5109.94,1.06669,0.69649,1.30196,0.93193,0.77913,0.88976,0.52213,1.49611,0.80126,1.68876,0.0007328,0.0007328,0.0007328
34,5264.99,1.00972,0.65136,1.27678,0.91988,0.85366,0.9227,0.51981,1.45911,0.70809,1.67997,0.0006932,0.0006932,0.0006932
35,5426.36,1.01377,0.64062,1.26484,0.90608,0.8645,0.92315,0.55383,1.40112,0.70389,1.56734,0.0006536,0.0006536,0.0006536
36,5581.69,1.00759,0.64252,1.27362,0.90647,0.90244,0.94374,0.54831,1.41647,0.6683,1.57276,0.000614,0.000614,0.000614
37,5735.33,1.00427,0.63165,1.2665,0.94335,0.81224,0.89837,0.52427,1.52292,0.74496,1.72838,0.0005744,0.0005744,0.0005744
38,5892.77,0.99188,0.61305,1.26047,0.9036,0.87805,0.93412,0.55728,1.44674,0.68678,1.6393,0.0005348,0.0005348,0.0005348
39,6046.53,0.9886,0.61062,1.25096,0.89813,0.88401,0.92066,0.52762,1.46607,0.67894,1.63605,0.0004952,0.0004952,0.0004952
40,6199.5,0.97833,0.60253,1.25673,0.91599,0.87805,0.9392,0.56779,1.41023,0.65194,1.58845,0.0004556,0.0004556,0.0004556
41,6366.36,0.87584,0.48598,1.23908,0.93194,0.84824,0.92692,0.56283,1.38466,0.6941,1.59439,0.000416,0.000416,0.000416
42,6529.67,0.86782,0.47324,1.23691,0.91846,0.88521,0.9324,0.56224,1.38853,0.66758,1.59084,0.0003764,0.0003764,0.0003764
43,6688.25,0.82483,0.43432,1.20637,0.92206,0.89775,0.94373,0.57546,1.39655,0.65941,1.57911,0.0003368,0.0003368,0.0003368
44,6845.4,0.81107,0.42952,1.20055,0.93258,0.86216,0.93374,0.56929,1.38558,0.66837,1.59357,0.0002972,0.0002972,0.0002972
45,7003.98,0.78848,0.40791,1.18135,0.94487,0.88257,0.94304,0.58395,1.38188,0.66484,1.60454,0.0002576,0.0002576,0.0002576
46,7166.31,0.76725,0.41005,1.17503,0.94976,0.89702,0.94774,0.58745,1.38481,0.64369,1.59375,0.000218,0.000218,0.000218
47,7324.19,0.74662,0.39428,1.14759,0.95576,0.87829,0.94824,0.58047,1.38566,0.65605,1.59783,0.0001784,0.0001784,0.0001784
48,7489.22,0.74499,0.3835,1.15818,0.96681,0.87263,0.94627,0.59234,1.38991,0.63504,1.59894,0.0001388,0.0001388,0.0001388
49,7647.42,0.71928,0.37716,1.13693,0.9358,0.91328,0.94895,0.57992,1.39944,0.64545,1.60738,9.92e-05,9.92e-05,9.92e-05
50,7807.55,0.71887,0.38104,1.14653,0.91438,0.91599,0.94761,0.58332,1.4071,0.65351,1.62441,5.96e-05,5.96e-05,5.96e-05
